tg_id,pack_name,created_flag,front_word,back_word,date_of_repeat,repeat_length
875771161,Module 1,False,Admired ,Почитаемый,2024-11-26,4.75
875771161,Module 1,False,Dedicated ,Преданный,2024-11-26,4.75
875771161,Module 1,False,Mean ,Недоброжелательный,2024-11-26,4.75
875771161,Module 1,False,Sympathetic ,сочувствующий,2024-11-26,4.75
875771161,Module 1,False,Trusting ,доверчивый,2024-11-26,4.75
875771161,Module 1,False,Moody ,капризный/неуравновешенный,2024-11-26,4.75
875771161,Module 1,False,Well-meaning ,действующий из лучших побуждений,2024-11-26,4.75
875771161,Module 1,False,Expression ,выражение,2024-11-26,4.75
875771161,Module 1,False,Lend ,Давать в долг,2024-11-26,4.75
875771161,Module 1,False,Borrow ,брать взаймы,2024-11-26,4.75
875771161,Module 1,False,A pain in the neck ,Невыносимый человек,2024-11-26,4.75
875771161,Module 1,False,Get off one's back ,отстать/оставить в покое,2024-11-26,4.75
875771161,Module 1,False,Get on one's nerves ,действовать на нервы,2024-11-26,4.75
875771161,Module 1,False,Give someone a cold shoulder ,оказывать холодный прием,2024-11-26,4.75
875771161,Module 1,False,Like a bear with a sore head ,разъяренный,2024-11-26,4.75
875771161,Module 1,False,See eye to eye ,сходиться во взглядах,2024-11-26,4.75
875771161,Module 1,False,Reflect ,Отображать,2024-11-26,4.75
875771161,Module 1,False,Polite ,Вежливый,2024-11-26,4.75
875771161,Module 1,False,fair ,справедливый,2024-11-26,4.75
875771161,Module 1,False,hurt ,ранить/обижать,2024-11-26,4.75
875771161,Module 1,False,jealous ,ревнивый,2024-11-26,4.75
875771161,Module 1,False,arrogant ,высокомерный,2024-11-26,4.75
875771161,Module 1,False,courage ,мужество,2024-11-26,4.75
875771161,Module 1,False,fiction ,выдумка,2024-11-26,4.75
875771161,Module 1,False,invitation ,приглашение,2024-11-26,4.75
875771161,Module 1,False,appearance ,внешность,2024-11-26,4.75
875771161,Module 1,False,knit ,вязать,2024-11-26,4.75
875771161,Module 1,False,plain ,простой,2024-11-26,4.75
875771161,Module 1,False,rapidly ,быстро,2024-11-26,4.75
875771161,Module 1,False,rarely ,редко,2024-11-26,4.75
875771161,Module 1,False,sight ,вид/зрелище,2024-11-26,4.75
875771161,Module 1,False,slender ,стройный/тонкий,2024-11-26,4.75
875771161,Module 1,False,smooth ,гладкий/ровный,2024-11-26,4.75
875771161,Module 1,False,stiff ,упругий,2024-11-26,4.75
875771161,Module 1,False,thin ,тонкий,2024-11-26,4.75
875771161,Module 1,False,thick ,толстый,2024-11-26,4.75
875771161,Module 1,False,twilight ,сумерки/полумрак,2024-11-26,4.75
875771161,Module 1,False,dull ,скучный,2024-11-26,4.75
875771161,Module 1,False,graduation ,окончание учебного заведения,2024-11-26,4.75
875771161,Module 1,False,facility ,сооружение,2024-11-26,4.75
875771161,Module 1,False,reply ,ответ,2024-11-26,4.75
875771161,Module 1,False,suggest ,предлагать,2024-11-26,4.75
875771161,Module 1,False,be up to something ,быть чем-то занятым,2024-11-26,4.75
875771161,Module 1,False,bother ,беспокоить,2024-11-26,4.75
875771161,Module 1,False,inspiration ,вдохновение,2024-11-26,4.75
875771161,Module 1,False,reasonably ,разумно/обоснованно,2024-11-26,4.75
875771161,Module 1,False,wet ,мокрый,2024-11-26,4.75
875771161,Module 1,False,accept ,принимать,2024-11-26,4.75
875771161,Module 1,False,apply ,применять/обращаться,2024-11-26,4.75
875771161,Module 1,False,suffer ,страдать,2024-11-26,4.75
875771161,Module 1,False,suspect ,подозревать/предполагать,2024-11-26,4.75
875771161,Module 1,False,manufacture ,производство/производить,2024-11-26,4.75
875771161,Module 1,False,brave ,смелый,2024-11-26,4.75
875771161,Module 1,False,contribution ,вклад/взнос,2024-11-26,4.75
875771161,Module 1,False,rescue ,спасение/освобождение,2024-11-26,4.75
875771161,Module 2,True,,,0,0.0
875771161,Module 2,False,Archery,стрельба из лука,2024-11-26,4.75
875771161,Module 2,False,Afford,позволить себе,2024-11-26,4.75
875771161,Module 2,False,by cheque,оплата чеком,2024-11-26,4.75
875771161,Module 2,False,make ends meet,сводить концы с концами,2024-11-26,4.75
875771161,Module 2,False,adventurous,любящий приключения,2024-11-26,4.75
875771161,Module 2,False,determined,решительный,2024-11-26,4.75
875771161,Module 2,False,cautious,осторожный/ осмотрительный,2024-11-26,4.75
875771161,Module 2,False,reserved,сдержанный/ замкнутый,2024-11-26,4.75
875771161,Module 2,False,to slide,скользить,2024-11-26,4.75
875771161,Module 2,False,play it cool,не терять самообладания,2024-11-26,4.75
875771161,Module 2,False,accommodate,размещаться,2024-11-26,4.75
875771161,Module 2,False,complete,завершить/завершенный,2024-11-26,4.75
875771161,Module 2,False,neighbourhood,окружающий район,2024-11-26,4.75
875771161,Module 2,False,work long hours,работать допоздна,2024-11-26,4.75
875771161,Module 2,False,aloud,вслух,2024-11-26,4.75
875771161,Module 2,False,bang,грохот/ треск,2024-11-26,4.75
875771161,Module 2,False,bit,немного/ кусочек/ частица,2024-11-26,4.75
875771161,Module 2,False,charm,обаяние/ привлекательность,2024-11-26,4.75
